# Generated by tools/n64stack/frames.py export from build/eu/sm64.eu.elf. Functions on the
# N64's call paths to set_camera_mode, find_floor_from_list, bhv_jrb_sliding_box_loop, with their stack frame sizes.
game_loop_sp	0x802021b8
src/game/mario_actions_airborne.c	act_crazy_box_bounce	40
src/game/mario_actions_airborne.c	common_air_knockback_step	40
src/game/mario_actions_airborne.c	act_backward_air_kb	32
src/game/mario_actions_airborne.c	act_forward_air_kb	32
src/game/mario_actions_airborne.c	act_hard_backward_air_kb	32
src/game/mario_actions_airborne.c	act_hard_forward_air_kb	32
src/game/mario_actions_airborne.c	act_thrown_backward	40
src/game/mario_actions_airborne.c	act_thrown_forward	48
src/game/mario_actions_airborne.c	act_soft_bonk	32
src/game/mario_actions_airborne.c	act_getting_blown	32
src/game/mario_actions_airborne.c	act_forward_rollout	32
src/game/mario_actions_airborne.c	act_backward_rollout	32
src/game/mario_actions_airborne.c	act_butt_slide_air	32
src/game/mario_actions_airborne.c	act_hold_butt_slide_air	32
src/game/mario_actions_airborne.c	act_lava_boost	32
src/game/mario_actions_airborne.c	act_slide_kick	32
src/game/mario_actions_airborne.c	act_jump_kick	32
src/game/mario_actions_airborne.c	act_shot_from_cannon	32
src/game/mario_actions_airborne.c	act_flying	40
src/game/mario_actions_airborne.c	act_flying_triple_jump	32
src/game/mario_actions_airborne.c	act_top_of_pole_jump	24
src/game/mario_actions_airborne.c	act_vertical_wind	40
src/game/mario_actions_airborne.c	act_special_triple_jump	32
src/game/mario_actions_airborne.c	check_common_airborne_cancels	24
src/game/mario_actions_airborne.c	mario_execute_airborne_action	32
src/game/mario_actions_automatic.c	set_pole_position	104
src/game/mario_actions_automatic.c	act_holding_pole	40
src/game/mario_actions_automatic.c	act_climbing_pole	48
src/game/mario_actions_automatic.c	act_grab_pole_slow	32
src/game/mario_actions_automatic.c	act_grab_pole_fast	32
src/game/mario_actions_automatic.c	act_top_of_pole_transition	32
src/game/mario_actions_automatic.c	act_top_of_pole	24
src/game/mario_actions_automatic.c	perform_hanging_step	56
src/game/mario_actions_automatic.c	update_hang_moving	64
src/game/mario_actions_automatic.c	act_hang_moving	32
src/game/mario_actions_automatic.c	let_go_of_ledge	40
src/game/mario_actions_automatic.c	act_ledge_grab	40
src/game/mario_actions_automatic.c	act_ledge_climb_slow	32
src/game/mario_actions_automatic.c	act_ledge_climb_down	24
src/game/mario_actions_automatic.c	act_ledge_climb_fast	32
src/game/mario_actions_automatic.c	act_tornado_twirling	104
src/game/mario_actions_automatic.c	check_common_automatic_cancels	24
src/game/mario_actions_automatic.c	mario_execute_automatic_action	32
src/game/mario_actions_cutscene.c	spawn_obj_at_mario_rel_yaw	32
src/game/mario_actions_cutscene.c	act_debug_free_move	72
src/game/mario_actions_cutscene.c	general_star_dance_handler	24
src/game/mario_actions_cutscene.c	act_star_dance	24
src/game/mario_actions_cutscene.c	act_star_dance_water	32
src/game/mario_actions_cutscene.c	act_fall_after_star_grab	32
src/game/mario_actions_cutscene.c	act_quicksand_death	32
src/game/mario_actions_cutscene.c	launch_mario_until_land	32
src/game/mario_actions_cutscene.c	act_unlocking_key_door	32
src/game/mario_actions_cutscene.c	act_unlocking_star_door	32
src/game/mario_actions_cutscene.c	act_emerge_from_pipe	32
src/game/mario_actions_cutscene.c	act_spawn_spin_airborne	32
src/game/mario_actions_cutscene.c	act_exit_airborne	24
src/game/mario_actions_cutscene.c	act_falling_exit_airborne	24
