# kind	path	size	ROM location (MIO0 block offset and offset in it, or file offset)
texture	actors/piranha_plant/piranha_plant_bottom_lip.rgba16.inc.c	2048	[1700432, 78840]
texture	actors/piranha_plant/piranha_plant_leaf.rgba16.inc.c	4096	[1700432, 82936]
texture	actors/piranha_plant/piranha_plant_skin.rgba16.inc.c	2048	[1700432, 74744]
texture	actors/piranha_plant/piranha_plant_stem.rgba16.inc.c	2048	[1700432, 76792]
texture	actors/piranha_plant/piranha_plant_tongue.rgba16.inc.c	4096	[1455200, 148536]
texture	actors/piranha_plant/piranha_plant_tooth.rgba16.inc.c	2048	[1700432, 80888]
texture	actors/pokey/pokey_body.rgba16.inc.c	2048	[1183408, 75896]
texture	actors/pokey/pokey_face.rgba16.inc.c	2048	[1183408, 71504]
texture	actors/pokey/pokey_face_blink.rgba16.inc.c	2048	[1183408, 73552]
texture	actors/poundable_pole/poundable_pole_side.rgba16.inc.c	2048	[1700432, 6224]
texture	actors/poundable_pole/poundable_pole_top.rgba16.inc.c	2048	[1700432, 4176]
texture	actors/power_meter/power_meter_five_segments.rgba16.inc.c	2048	[1950768, 158688]
